Provinsi,Kabupaten/Kota,Jenis Ikan,Volume Produksi,Nilai Produksi,Konsumsi
ACEH,ACEH BARAT,BANDENG,462.63,71070000,1169
ACEH,ACEH BARAT,CAKALANG,1120.95,960382683,0
ACEH,ACEH BARAT,KAKAP,1250.74,6805814548,0
ACEH,ACEH BARAT,KEMBUNG,1370.749,32601894216,3589
ACEH,ACEH BARAT,KERANG,186.61,1306270000,0
ACEH,ACEH BARAT,KUWE,1455.186,4111473666,0
ACEH,ACEH BARAT,LAYANG,1170.932,421400000,0
ACEH,ACEH BARAT,LAYUR,891.718,11057664500,0
ACEH,ACEH BARAT,LELE,57.28,1432000000,0
ACEH,ACEH BARAT,MAS,11.88,415800000,0
ACEH,ACEH BARAT,NILA,65.11,1953300000,0
ACEH,ACEH BARAT,PEPEREK,791.548,124980000,0
ACEH,ACEH BARAT,SELAR,452.752,9306770112,434
ACEH,ACEH BARAT,TENGGIRI,1112.797,7911561830,258
ACEH,ACEH BARAT,TONGKOL,1229.375,34537291670,0
ACEH,ACEH BARAT,TUNA,819.308,16654220000,0
ACEH,ACEH BARAT,UDANG,677.94,21988200000,0
ACEH,ACEH BARAT DAYA,ALU-ALU,62.568,600600000,0
ACEH,ACEH BARAT DAYA,BETUTU,40,1200000,0
ACEH,ACEH BARAT DAYA,BILIS,1002,70330000000,0
ACEH,ACEH BARAT DAYA,CUMI-CUMI,199,5970000000,0
ACEH,ACEH BARAT DAYA,GABUS,70,3500000,331
ACEH,ACEH BARAT DAYA,GURAMI,335,16750000,0
ACEH,ACEH BARAT DAYA,HIU,25,875000000,0
ACEH,ACEH BARAT DAYA,JELAWAT,70,12600000,0
ACEH,ACEH BARAT DAYA,KAKAP,438.24,20162000000,0
ACEH,ACEH BARAT DAYA,KAPAS-KAPAS,38,950000000,0
ACEH,ACEH BARAT DAYA,KEMBUNG,312.75,7010000000,1578
ACEH,ACEH BARAT DAYA,KERAPU,379,17000000000,0
ACEH,ACEH BARAT DAYA,KUWE,309.464,13973200000,0
ACEH,ACEH BARAT DAYA,LAYUR,48.24,1447200000,0
ACEH,ACEH BARAT DAYA,LELE,847.766,1010440000,0
ACEH,ACEH BARAT DAYA,MAS,583.941,682080000,0
ACEH,ACEH BARAT DAYA,MUJAIR,275,6875000,0
